listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType
https://www.hdak.co.uk/viewproperty.php?id=1073,"Crescent House, 2-6 Sandy Lane, Leyland PR25 2EB",300000,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/gEQRLA8brzUnqg3.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/1EQQ2eiGZQ82ujH.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/7O6w4cUptyfrFlw.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/8WtjeVgoqt2MEnX.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/10Xx53TKKbL60VT.jpg']","Crescent House, 2-6 Sandy Lane, Leyland PR25 2EB For Sale Offers in excess of £300,000 3412 ft² Office premises suitable for investment/occupation or residential development",3412.0,,PR25 2EB,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Crescent House, Sandy Lane, Leyland - Master amd.pdf']",HDAK,,,,,,,,For Sale
https://www.hdak.co.uk/viewproperty.php?id=1019,"2 Lytham Road, Fulwood, Preston, PR2 8JB",,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/WvaGkeL9sbmrUA9.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/W2brcFYENG872Ze.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/QDkH6xIr3TqVMZ0.jpg']","2 Lytham Road, Fulwood, Preston, PR2 8JB To Let £40,000 pa 2923 ft² Detached showroom/office premises with car park. Prominent corner position on A6 Garstang Road.",2923.0,,PR2 8JB,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Amended details - 2 Lytham Road.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1054,"Milton House, Winery Lane, Walton le Dale, Preston PR5 4AR",,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/O17JLU7ZXK2Moe6.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/yZ7TZEcUO2x2z04.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/85D7JK4zYIQWTw3.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/iyN8Lqtv7Sk3cuZ.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/UUrql99WCyIu0NU.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/Eohm6um5xnWcs82.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/Q4p3CXSrsFzyqOO.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/W8tD1z2OhgCimui.jpg']","Milton House, Winery Lane, Walton le Dale, Preston PR5 4AR For Sale/Let £375,000 / £30,000 pa 2890 ft² Detached warehouse/workshop premises with adjacent fully fenced compound",2890.0,,PR5 4AR,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Winery-Lane-Milton-House-Walton-le-Dale-Preston-Master-amd-15-10-25.pdf'],HDAK,,,,,,,,For Sale
https://www.hdak.co.uk/viewproperty.php?id=611,"Urban Exchange, Theatre Street/Mount Street, Preston PR1 8BQ",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/l_611.jpg'],"Urban Exchange, Theatre Street/Mount Street, Preston PR1 8BQ To Let £29,500 pa 2760 ft² Well fitted city centre showroom/office premises",2760.0,,PR1 8BQ,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Urban Exchange, Theatre St.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1052,"9 Moor Park Avenue, Preston PR1 6AS",,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/RK1FcJkfZ7N9PC9.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/36pb2pnReBvxOWT.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/sr2aP3YV8ADQE53.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/6m43V0VDY4Ga399.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/7ic8y7tiwFY3Xlp.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/FZBGaV9BzsCBUp3.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/2WGtk11B2q6fAjH.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/2jaWlPRcK3ZO4Y9.jpg']","9 Moor Park Avenue, Preston PR1 6AS For Sale/Let Offers around £350,000 / £20,000 pa 2574 ft² Semi-detached building overlooking Moor Park. Car park to rear",2574.0,,PR1 6AS,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/9 Moor Park Avenue - Master amd 2.pdf'],HDAK,,,,,,,,For Sale
https://www.hdak.co.uk/viewproperty.php?id=966,"5 - 7 Fazakerley Street, Chorley, PR7 1BG",300000,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/X1yjeAbu6RjMzjI.jpg'],"5 - 7 Fazakerley Street, Chorley, PR7 1BG For Sale Offers around £300,000 2430 ft² Purpose built former wine bar/licensed premises",2430.0,,PR7 1BG,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/5-7 Fazakerley St, Chorley - Master.pdf']",HDAK,,,,,,,,For Sale
https://www.hdak.co.uk/viewproperty.php?id=1053,"26 West Cliff, Preston PR1 8HU",300000,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/qhws3fC9heYVHxq.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/1Psh9vyV67axmX3.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/VE2MyzBrjf4RI2m.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/9Q76qVKq8kVD4Jo.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/qGIsh4XUaNFKGu0.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/30hL73xSW599i52.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/3EPqx3eI5kMqz1j.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/DsTz6YG3aejSLys.jpg']","26 West Cliff, Preston PR1 8HU For Sale Offers around £300,000 2250 ft² Detached two-storey office building with adjacent car park",2250.0,,PR1 8HU,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/26 West Cliff, Preston - Master v2.pdf']",HDAK,,,,,,,,For Sale
https://www.hdak.co.uk/viewproperty.php?id=1068,"East Barn, Clifton Fields, Lytham Road, Clifton, Preston PR4 0XG",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/XUoa5Pvj9RE1J1x.jpg'],"East Barn, Clifton Fields, Lytham Road, Clifton, Preston PR4 0XG To Let £10 psf 2000 ft² Modern first floor office suite in relaxed country setting. Ample on site car parking",2000.0,,PR4 0XG,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/East Barn, Clifton Fields 2.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1070,"East Barn, Clifton Fields, Lytham Road, Clifton, Preston PR4 0XG",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/5L9Kn2nTfi6UmRf.jpg'],"East Barn, Clifton Fields, Lytham Road, Clifton, Preston PR4 0XG To Let £10 psf 2000 ft² Modern ground floor suite in relaxed country setting Ample on site car parking",2000.0,,PR4 0XG,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/East Barn, Clifton Fields.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1055,"The Old Bull Chambers, Church Street, Preston PR1 3BU",,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/mYi4GCqP6C0uV3f.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/Ia3eRzSAprx7w4k.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/akYGF6Hx8oQ9Qkl.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/gn3Iox5LyJSAnQw.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/JR59RpamB6CIY4b.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/fr1B3H2177nGL1M.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/EO67eqA74ZaBa68.jpg']","The Old Bull Chambers, Church Street, Preston PR1 3BU To Let £15,000 pa 1990 ft² Furnished primarily open plan first floor offices with on site car parking",1990.0,,PR1 3BU,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Old Bull Chambers, Church Street.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=390,"Unit 4 Fairways Office Park, Olivers Place, Fulwood, Preston PR2 9WT",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/l_390.jpg'],"Unit 4 Fairways Office Park, Olivers Place, Fulwood, Preston PR2 9WT To Let £18,500 pa 1900 ft² Prestigious ground floor office suite with 5 car parking spaces",1900.0,,PR2 9WT,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Unit 4 Fairways Office Park.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1043,"First Floor, B1 Pittman Court, Pittman Way, Fulwood, Preston PR2 9ZG",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/avu246dJx2eoFP8.jpg'],"First Floor, B1 Pittman Court, Pittman Way, Fulwood, Preston PR2 9ZG To Let £20,000 pa 1800 ft² High quality offices with 8 on site car parking spaces",1800.0,,PR2 9ZG,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/B1 Pittman Court Master 101225.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1026,"Unit 1 Ferry Road Office Park, Ferry Road, Riversway, Preston, PR2 2YH",195000,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/AMx929x46Hn1SBa.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/F9GSvNLSWap1X5o.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/2aUh22376E86rIL.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/nWAL39vk4Y2wtfC.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/KZf2lbOhShmWupC.jpg']","Unit 1 Ferry Road Office Park, Ferry Road, Riversway, Preston, PR2 2YH For Sale £195,000 1476 ft² Modern two storey office premises with 4 car parking spaces",1476.0,,PR2 2YH,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/1 Ferry Road Office Park.pdf'],HDAK,,,,,,,,For Sale
https://www.hdak.co.uk/viewproperty.php?id=1060,"Unit 8 Bartle Court Business Village, Rosemary Lane, Bartle, Preston PR4 0HF",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/XAgr6Ur1LNmxMe3.jpg'],"Unit 8 Bartle Court Business Village, Rosemary Lane, Bartle, Preston PR4 0HF To Let £11,000 pa 1285 ft² Modern, high quality office suite with allocated on-site car parking in stunning rural location with excellent access to M55 & M6",1285.0,,PR4 0HF,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Unit 8 Bartle Court Business Village - Master.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1031,"Unit 7 Bartle Court Business Village, Rosemary Lane, Bartle PR4 0HF",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/0c5NFZX17eLm2yi.jpg'],"Unit 7 Bartle Court Business Village, Rosemary Lane, Bartle PR4 0HF To Let £11,000 pa 1276 ft² Ground floor office suite fitted to a high standard throughout. Attractive rural setting",1276.0,,PR4 0HF,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Unit 7 Bartle Court Business Village - Master.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1033,"16 Navigation Business Village, Navigation Way, Preston PR2 2YP",,Office,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/INwLHgpbd1E5kQZ.jpg'],"16 Navigation Business Village, Navigation Way, Preston PR2 2YP To Let £13,000 pa 1248 ft² Modern 2 storey offices with 5 dedicated parking spaces and one visitor space",1248.0,,PR2 2YP,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/16 Navigation Business Village - Master1.pdf'],HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1044,"Unit 2, 179 Station Road, Bamber Bridge, Preston PR5 6LA",,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/A3WEbS2BBfS54a2.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/FiOoarmL8UK07cT.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/d5GuP91Oc14obXo.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/hSRgnQ4ggj75Bu5.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/u1iOG4anHm5FFw0.jpg']","Unit 2, 179 Station Road, Bamber Bridge, Preston PR5 6LA To Let £18,500 pa 1227 ft² Ground floor modern shop/office premises adjacent Morrisons Supermarket",1227.0,,PR5 6LA,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Unit 2, 179 Station Road, Bamber Bridge.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1038,"Unit A, 247 Eldon Street, Preston PR2 2BB",,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/E1YB41rd5Ln6F7n.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/6756TfVoS76crF5.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/cYXbx67G4J622Xr.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/G86ocMJy6r1CFNm.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/ZRiu1osJ37aRx8b.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/C5RJQT247c2bp3u.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/efxLg4iu2jOtz2U.jpg']","Unit A, 247 Eldon Street, Preston PR2 2BB To Let £12,000 pa 1200 ft² Newly fitted & fully furnished office/light industrial unit with car parking",1200.0,,PR2 2BB,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/Unit A, 247 Eldon Street, Preston - Master.pdf']",HDAK,,,,,,,,To Let
https://www.hdak.co.uk/viewproperty.php?id=1063,"11 Riversway Business Village, Navigation Way, Preston PR2 2YP",,Office,"['https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/R67AoEhRrgwv9T9.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/C7782KghnQmFb73.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/ivL2qcy6R3Z4807.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/3NwW2jHw4mbdv3Y.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/yT9yAfjHMjeGgJR.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/xJwR75779a0KglZ.jpg', 'https://admin.easywebsites.co.uk/inc/hdak.co.uk/images/project-category/6Xen8FVwBz410Hp.jpg']","11 Riversway Business Village, Navigation Way, Preston PR2 2YP To Let £15,000 pa 1160 ft² Superb, partially furnished offices overlooking the marina",1160.0,,PR2 2YP,['https://admin.easywebsites.co.uk/inc/hdak.co.uk/downloads/11 Riversway Business Village - Master 2.pdf'],HDAK,,,,,,,,To Let
