listingUrl,displayAddress,price,propertySubType,propertyImage,detailedDescription,sizeFt,sizeAc,postalCode,brochureUrl,agentCompanyName,agentName,agentCity,agentEmail,agentPhone,agentStreet,agentPostcode,tenure,saleType,date,status
https://www.snellers.com/property/Platts-Eyot-Unit-502-Lower-Sunbury-Road-Hampton-TW12-2HF?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Platts Eyot, Unit 502, Lower Sunbury Road, Hampton, TW12 2HF",,Industrial / Light Industrial,"['https://www.snellers.com/Images/Properties/1351/Resize/Platts-Eyot-cover.jpg', 'https://www.snellers.com/Images/Properties/1351/Resize/PlattsEyot-Twitter.jpg', 'https://www.snellers.com/Images/Properties/1351/Resize/IMG-7727.jpeg', 'https://www.snellers.com/Images/Properties/1351/Resize/IMG-4751.jpg', 'https://www.snellers.com/Images/Properties/1351/Resize/IMG-4748.jpg', 'https://www.snellers.com/Images/Properties/1351/Resize/Car-Park.jpg']","Platts Eyot offers a variety of light industrial,
storage, office and studio units with varying
specifications. The units are suitable for a
variety of commercial uses and tenants
currently include designers, industrial uses as
well as traditional moorings and boat related
uses. There is unallocated parking on Lower
Sunbury Road with footbridge access to the
island.",1776.0,,TW12 2HF,"['https://www.snellers.com/Images/Properties/1351/Floorplan/Unit 502 - lease plan ground floor part unit 502.pdf', 'https://www.snellers.com/Images/Properties/1351/Particulars/Platts Eyot - Unit 502.pdf']",Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/1-Hampton-Hill-Business-Park-Hampton-Hill-Middlesex-TW12-1NR?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"1 Hampton Hill Business Park, Hampton Hill, TW12 1NR",,Office,"['https://www.snellers.com/Images/Properties/1102/Resize/IMG-6290.jpg', 'https://www.snellers.com/Images/Properties/1102/Resize/IMG-0197.jpg', 'https://www.snellers.com/Images/Properties/1102/Resize/IMG-0189.jpg', 'https://www.snellers.com/Images/Properties/1102/Resize/IMG-0191.jpg', 'https://www.snellers.com/Images/Properties/1102/Resize/IMG-0196.jpg']",The property comprises a two storey business unit offering primarily open plan accommodation over ground and first floors. AMENITIES Loading door Security shutters Electric heating WC and separate shower Allocated Parking,1257.0,,TW12 1NR,['https://www.snellers.com/Images/Properties/1102/Particulars/1 Hampton Hill Business Park.pdf'],Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/5-6-Central-Parade-Surbiton-KT6-4PJ?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"5-6 Central Parade, Surbiton, KT6 4PJ",,Retail / E Use Class,"['https://www.snellers.com/Images/Properties/1178/Resize/IMG-1200.jpg', 'https://www.snellers.com/Images/Properties/1178/Resize/IMG-3192.jpg']","The property comprises a ground floor
double fronted former restaurant with
kitchen area, rear stores, male & female
customer WC’s plus staff WC. There is a
cold store and large storage areas to the
rear and rear access to a service road.
The property will be offered in a shell
condition ready for a tenants fit out.",1944.0,,KT6 4PJ,"['https://www.snellers.com/Images/Properties/1178/Brochure/Central Parade 5 - 6, Surbiton.pdf']",Snellers,,,,,,,,,2026-02-19,New
https://www.snellers.com/property/Unit-6-60-High-Street-Hampton-Wick-KT1-4DB?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Unit 6, 60 High Street, Hampton Wick, KT1 4DB",,Office / Industrial / Workshop / Storage Unit,"['https://www.snellers.com/Images/Properties/1342/Resize/IMG-3835.jpg', 'https://www.snellers.com/Images/Properties/1342/Resize/Car-park-edited-number-plate.jpg', 'https://www.snellers.com/Images/Properties/1342/Resize/WhatsApp-Image-2026-02-11-at-093541-1.jpeg', 'https://www.snellers.com/Images/Properties/1342/Resize/WhatsApp-Image-2026-02-11-at-093541-2.jpeg', 'https://www.snellers.com/Images/Properties/1342/Resize/WhatsApp-Image-2026-02-11-at-093541-4.jpeg', 'https://www.snellers.com/Images/Properties/1342/Resize/WhatsApp-Image-2026-02-11-at-093541.jpeg']","The property comprises a self-contained
business unit with first floor office and
under eaves storage. The unit benefits from
UPVC windows and double loading doors
with roller shutter. There is shared use of
male & female WC’s within the courtyard. The premises also benefit from an allocated
parking bay.",423.0,,KT1 4DB,"['https://www.snellers.com/Images/Properties/1342/Particulars/60 High Street, Hampton Wick - Unit 6.pdf']",Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/Queen-Anne-House-15-Thames-Street-Hampton-Middlesex-TW12-2EW?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Queen Anne House, 15 Thames Street, Hampton, TW12 2EW",,Office / E Use Class,"['https://www.snellers.com/Images/Properties/977/Resize/Front.jpg', 'https://www.snellers.com/Images/Properties/977/Resize/Rear.jpg', 'https://www.snellers.com/Images/Properties/977/Resize/Queen-Anne-House-Room-5.jpg']","Attractive Grade II listed building dating from circa 1702 and restored and refurbished to a high standard. There is one office suite currently available, Suite 11.  Previously set up as a private clinic’s consulting rooms, but suitable for a variety of other uses.  The building is arranged as a total of 11 rooms, plus kitchenette, 2 WC’s and parking.",80.0,,TW12 2EW,[],Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/Unit-2-Teddington-Business-Park-Station-Road-Teddington-TW11-9BQ?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Unit 2, Teddington Business Park, Station Road, Teddington, TW11 9BQ",,Investment,"['https://www.snellers.com/Images/Properties/1341/Resize/P1-Unit-2.jpg', 'https://www.snellers.com/Images/Properties/1341/Resize/P2-Unit-2.jpg']","The premises comprises a warehouse unit
constructed in the mid 1980’s of portal frame
with blockwork walls under a pitched roof. The warehouse has roller shutter loading
doors and benefits from ancillary offices at the
front the building on ground and first floors. Eaves height of approximately 4.7 metres.",5813.0,,TW11 9BQ,['https://www.snellers.com/Images/Properties/1341/Brochure/2 Teddington Business Park - Unit 2.pdf'],Snellers,,,,,,,Leasehold,,2026-02-19,New
https://www.snellers.com/property/417-Upper-Richmond-Road-West-26a26b-Colston-Road-East-Sheen-SW14-7PJ?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"417 Upper Richmond Road West , & 26a/26b Colston Road, East Sheen, SW14 7PJ",,Investment,"['https://www.snellers.com/Images/Properties/1352/Resize/exterior1.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/FFF-26-Colston-Road-02.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/FFF-26-Colston-Road-03.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/FFF-26-Colston-Road-05.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/rear-exterior.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/SFF-26-Colston-Road-01.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/SFF-26-Colston-Road-03.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/SFF-26-Colston-Road-04.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/Rear-of-flats-garden.jpg', 'https://www.snellers.com/Images/Properties/1352/Resize/20260128-1137592.jpg']","The Property comprises a ground floor shop unit together
with a 1 bed flat and a 2/3 bed maisonette above both of
which are separately accessed from Colston Road to the
rear. The building was extended from a two
-floor residential unit
into a three
-floor one and the works were completed in
March 2020. At that time, a new floor was created in the
roof space
, allowing 26b to become a maisonette. The whole residential area was renovated including a new
roof, renovated flat roof terrace, all plumbing, electrical
and gas cooking and heating, the exterior and interior
doors, bathroom suites, fitted kitchen units and kitchen
equipment. The windows were also replaced and the soundproofing
between the floors upgraded. The ground floor commercial wiring was upgraded to 3
phase. We are instructed to seek offers in excess of £1,250,000 which
reflects a Net Initial Yield of 6.15% after purchaser's costs of
6.8%.",2417.0,,SW14 7PJ,['https://www.snellers.com/Images/Properties/1352/Brochure/417 Upper Richmond Road West & 26a & 26b Colston Road.pdf'],Snellers,,,,,,,Freehold,,2026-02-19,New
https://www.snellers.com/property/UK-House-First-Floor-Suite-82-Heath-Road-Twickenham-TW1-4BW?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"UK House - First Floor Suite, 82 Heath Road, Twickenham, TW1 4BW",,Office,"['https://www.snellers.com/Images/Properties/1339/Resize/External.jpg', 'https://www.snellers.com/Images/Properties/1339/Resize/IMG-3787.jpg', 'https://www.snellers.com/Images/Properties/1339/Resize/UK-House-Ph10.jpg', 'https://www.snellers.com/Images/Properties/1339/Resize/UK-House-Ph14.jpg', 'https://www.snellers.com/Images/Properties/1339/Resize/UK-House-Ph1.jpg', 'https://www.snellers.com/Images/Properties/1339/Resize/UK-House-Ph6.jpg', 'https://www.snellers.com/Images/Properties/1339/Resize/UK-House-Ph8.jpg']",The last remaining suite is located on the first floor of this modern four storey commercial building with an attractive entrance reception.  The offices have been recently redecorated and provide modern air-conditioned open plan space with demountable partitioning to create a separate meeting room and kitchen/staff area.  The suite can be leased as a whole or as two smaller suites.,818.0,,TW1 4BW,"['https://www.snellers.com/Images/Properties/1339/Floorplan/6721_GA_1F.pdf', 'https://www.snellers.com/Images/Properties/1339/Brochure/UK House, Twickenham - first floor.pdf', 'https://www.snellers.com/Images/Properties/1339/Floorplan/6721_GA_1F_2.pdf']",Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/Millennium-House-Eden-Street-Kingston-upon-Thames-Surrey-KT1-1BL?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Millennium House, Eden Street, Kingston upon Thames, KT1 1BL",,Office,"['https://www.snellers.com/Images/Properties/741/Resize/Main.jpg', 'https://www.snellers.com/Images/Properties/741/Resize/IMG-5175.jpg', 'https://www.snellers.com/Images/Properties/741/Resize/IMG-5176.jpg', 'https://www.snellers.com/Images/Properties/741/Resize/1.jpg', 'https://www.snellers.com/Images/Properties/741/Resize/2.jpg', 'https://www.snellers.com/Images/Properties/741/Resize/3.jpg']",Millennium House offers modern flexible office accommodation. There are a range of different suites available as set out below.,1040.0,,KT1 1BL,"['https://www.snellers.com/Images/Properties/741/Brochure/Millennium House, Eden Street. Kingston.pdf']",Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/The-Boathouse-Unit-2-Swan-Island-Strawberry-Vale-Twickenham-TW1-4RY?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"The Boathouse, Unit 2, Swan Island, Strawberry Vale, Twickenham, TW1 4RY",,Office / Workshop,['https://www.snellers.com/Images/Properties/1348/Resize/Picture-Unit-2.jpg'],"The business unit is currently partitioned
to provide a workshop and office area. The office benefits from a suspended
ceiling and carpeting. To the front
workshop there is a loading door with
electric roller shutter. There is use of shared WC and shower
facilities and one parking space on site.",659.0,,TW1 4RY,['https://www.snellers.com/Images/Properties/1348/Particulars/Swan Island - Unit 2 - The Boathouse.pdf'],Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/King-Edwards-Recreation-Ground-Surbiton-KT9-1PL?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"King Edwards Recreation Ground, Surbiton, KT9 1PL",,Retail / Other / E Use Class,"['https://www.snellers.com/Images/Properties/1269/Resize/Screenshot-Satellite-2.png', 'https://www.snellers.com/Images/Properties/1269/Resize/IMG-1691.jpg', 'https://www.snellers.com/Images/Properties/1269/Resize/Floor-map.png', 'https://www.snellers.com/Images/Properties/1269/Resize/IMG-1686.jpg']","The property comprises the former public
convenience block that can be refurbished and
reconfigured to provide a coffee shop or similar
offering, serving the users of the park.",413.0,,KT9 1PL,"['https://www.snellers.com/Images/Properties/1269/Brochure/King Edwards Recreation Ground, Surbiton..pdf']",Snellers,,,,,,,,,2026-02-19,New
https://www.snellers.com/property/Platts-Eyot-Unit-14-Suite-2-Lower-Sunbury-Road-Hampton-TW12-2HF?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Platts Eyot - Unit 14, Suite 2, Lower Sunbury Road, Hampton, TW12 2HF",,Office / Industrial / Workshop,"['https://www.snellers.com/Images/Properties/1332/Resize/WhatsApp-Image-2025-08-22-at-134545-67f80286.jpg', 'https://www.snellers.com/Images/Properties/1332/Resize/Platts-Eyot-cover.jpg', 'https://www.snellers.com/Images/Properties/1332/Resize/IMG-7727.jpeg', 'https://www.snellers.com/Images/Properties/1332/Resize/IMG-4751.jpg', 'https://www.snellers.com/Images/Properties/1332/Resize/IMG-20251204-WA0003.jpg', 'https://www.snellers.com/Images/Properties/1332/Resize/IMG-20251204-WA0004.jpg', 'https://www.snellers.com/Images/Properties/1332/Resize/IMG-20251204-WA0006.jpg', 'https://www.snellers.com/Images/Properties/1332/Resize/IMG-20251204-WA0007.jpg', 'https://www.snellers.com/Images/Properties/1332/Resize/IMG-20251204-WA0001.jpg']","Platts Eyot offers a variety of light industrial,
storage, office and studio units with varying
specifications. The units are suitable for a
variety of commercial uses and tenants
currently include designers, industrial uses as
well as traditional moorings and boat related
uses.
There is unallocated parking on Lower
Sunbury Road with footbridge access to the
island.",600.0,,TW12 2HF,['https://www.snellers.com/Images/Properties/1332/Particulars/Platts Eyot - Unit 14 - Suite 2.pdf'],Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/Platts-Eyot-Lower-Sunbury-Road-Hampton-Middlesex-TW12-2HF?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Platts Eyot, Lower Sunbury Road, Hampton, TW12 2HF",,Office / Industrial / Light Industrial / Workshop,"['https://www.snellers.com/Images/Properties/859/Resize/IMG-4750.jpg', 'https://www.snellers.com/Images/Properties/859/Resize/IMG-4751.jpg', 'https://www.snellers.com/Images/Properties/859/Resize/IMG-4752.jpg', 'https://www.snellers.com/Images/Properties/859/Resize/IMG-7727.jpeg', 'https://www.snellers.com/Images/Properties/859/Resize/Platts-Eyot-cover.jpg', 'https://www.snellers.com/Images/Properties/859/Resize/Unit-14-Platts-Eyot.jpg']","Platts Eyot offers a variety of light
industrial, storage, office and studio units with varying specifications.  The units are suitable for a variety of commercial uses and tenants currently include designers, industrial uses as well as traditional
moorings and boat related uses.
There is unallocated parking on Lower Sunbury Road with footbridge access to the island.",600.0,,TW12 2HF,['https://www.snellers.com/Images/Properties/859/Particulars/Platts Eyott - all units. Hampton.pdf'],Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/14-16-Eden-Street-Kingston-Upon-Thames-KT1-1BB?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"14-16 Eden Street, Kingston Upon Thames, KT1 1BB",,Retail,"['https://www.snellers.com/Images/Properties/1321/Resize/IMG-3435.jpg', 'https://www.snellers.com/Images/Properties/1321/Resize/IMG-3220.jpg']","The property comprises the ground floor of a
mid terrace 3 storey building. The property currently operates as a
furniture showroom and benefits from an
open plan trading area with glass frontage,
suspended ceiling, AC units (not tested).
laminate flooring and two WC’s, one
providing disabled access. There is rear
access to a service road and there is an on
street loading bay to the front.",1638.0,,KT1 1BB,['https://www.snellers.com/Images/Properties/1321/Particulars/14-16 Eden Street_Kingston.pdf'],Snellers,,,,,,,,To Let,2026-02-19,New
https://www.snellers.com/property/Unit-1-Teddington-Business-Park-Station-Road-Teddington-TW11-9BQ?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"Unit 1, Teddington Business Park, Station Road, Teddington, TW11 9BQ",450000,Industrial,"['https://www.snellers.com/Images/Properties/1334/Resize/1-Teddington-BP-Exterior-A-Unit-1.jpg', 'https://www.snellers.com/Images/Properties/1334/Resize/TBP-Sign.jpg', 'https://www.snellers.com/Images/Properties/1334/Resize/IMG-2006-internal.jpg', 'https://www.snellers.com/Images/Properties/1334/Resize/IMG-2007-internal.jpg', 'https://www.snellers.com/Images/Properties/1334/Resize/IMG-2009-internal-office.jpg', 'https://www.snellers.com/Images/Properties/1334/Resize/IMG-2010-internal-office.jpg', 'https://www.snellers.com/Images/Properties/1334/Resize/IMG-2011-internal-office.jpg', 'https://www.snellers.com/Images/Properties/1334/Resize/IMG-2012-internal-office.jpg']","The premises comprises a warehouse unit constructed
in the mid 1980’s of portal frame with blockwork walls
under a pitched roof.
The warehouse has roller shutter loading doors and
benefits from ancillary offices at the front the building
on ground and first floors.
Eaves height of approximately 4.7 metres. The unit is let to AMC Express Ltd on a 10 Year Lease from
01/05/2023 with a Mutual Break option 01/05/29.
Current Rent of £47,500 per annum. With annual
£2,500 pa uplifts in Years 3, 4 and 5.",4303.0,,TW11 9BQ,['https://www.snellers.com/Images/Properties/1334/Particulars/1 Teddington Bus Park_Unit 1.pdf'],Snellers,,,,,,,Leasehold,For Sale,2026-02-19,New
https://www.snellers.com/property/483-Upper-Richmond-Road-West-East-Sheen-London-SW14-7PU?Location=&QueryLocation=&Type=&QueryType=&Tenure=&QueryTenure=&MinSize=&MaxSize=,"483 Upper Richmond Road West, East Sheen, SW14 7PU",,Retail,['https://www.snellers.com/Images/Properties/1345/Resize/Blurred-Pedestrian.jpg'],"The property comprises a lock up retail
premises with character shop front.
Internally there is a WC and rear access to a
small enclosed rear yard.",404.0,,SW14 7PU,['https://www.snellers.com/Images/Properties/1345/Particulars/483 Upper Richmond Road West.pdf'],Snellers,,,,,,,,To Let,2026-02-19,New
